Ligand,Binding Affinity,rmsd/ub, rmsd/lb
alpha_amylase_clean_439246,-4.4,0.0,0.0
alpha_amylase_clean_439246,-4.4,1.083,0.069
alpha_amylase_clean_439246,-3.5,1.401,1.017
alpha_amylase_clean_439246,-2.8,5.523,2.834
alpha_amylase_clean_439246,-2.7,3.371,2.139
alpha_amylase_clean_439246,-1.5,7.028,2.076
