Ligand,Binding Affinity,rmsd/ub, rmsd/lb
alpha_amylase_clean_5316673,0.7,0.0,0.0
alpha_amylase_clean_5316673,2.7,2.102,1.37
alpha_amylase_clean_5316673,3.4,5.39,2.412
