Ligand,Binding Affinity,rmsd/ub, rmsd/lb
alpha_amylase_clean_5280343,-4.1,0.0,0.0
alpha_amylase_clean_5280343,-3.4,6.649,1.819
alpha_amylase_clean_5280343,-3.1,2.968,1.881
alpha_amylase_clean_5280343,-2.9,1.681,1.047
alpha_amylase_clean_5280343,-2.2,2.78,1.709
alpha_amylase_clean_5280343,-2.1,7.326,2.147
alpha_amylase_clean_5280343,-1.2,7.052,1.968
